,categories,geocodes,link,name,rating
26,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}, {'id': 19017, 'name': 'Motel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.143042, 'longitude': 11.507494}, 'roof': {'latitude': 48.143042, 'longitude': 11.507494}}",/v3/places/56dde175498ea03381a7fb77,Super 8 by Wyndham Munich City West,8.0
27,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.132694, 'longitude': 11.690132}, 'roof': {'latitude': 48.132694, 'longitude': 11.690132}}",/v3/places/57c1875c498e78494821a250,Motel One München-Messe,8.0
28,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.134704, 'longitude': 11.566813}, 'roof': {'latitude': 48.134704, 'longitude': 11.566813}}",/v3/places/4b143977f964a5208e9f23e3,Hotel Motel One München-Sendlinger Tor,7.9
29,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.140122, 'longitude': 11.601261}, 'roof': {'latitude': 48.140122, 'longitude': 11.601261}}",/v3/places/4bc78f8d93bdeee1ac8337ae,Hotel München Palace,7.9
30,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.116676, 'longitude': 11.531648}, 'roof': {'latitude': 48.116676, 'longitude': 11.531648}}",/v3/places/510c00eee4b06e4689223d4d,angelo Hotel Munich Westpark,7.9
31,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.148072, 'longitude': 11.624257}, 'roof': {'latitude': 48.148072, 'longitude': 11.624257}}",/v3/places/4bd09dcf1f89ce72edbc67ea,Hotel Rothof Bogenhausen,7.9
32,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.125003, 'longitude': 11.611543}, 'roof': {'latitude': 48.125003, 'longitude': 11.611543}}",/v3/places/5da4bf3e8a8ebb0008697022,Moxy Munich Ostbahnhof,7.9
33,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.172723, 'longitude': 11.594268}, 'roof': {'latitude': 48.172723, 'longitude': 11.594268}}",/v3/places/4f21c5cfe4b0eec7fb6c96ad,Pullman Munich,7.9
34,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.137586, 'longitude': 11.55779}, 'roof': {'latitude': 48.137586, 'longitude': 11.55779}}",/v3/places/5061e739e4b02ac0d9268786,Eurostars Book Hotel,7.8
35,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 48.139049, 'longitude': 11.558007}, 'front_door': {'latitude': 48.139109, 'longitude': 11.557969}, 'main': {'latitude': 48.139109, 'longitude': 11.557969}, 'roof': {'latitude': 48.139057, 'longitude': 11.558187}}",/v3/places/4b5c32b5f964a5201c2729e3,Le Méridien Munich,7.8
36,"[{'id': 19010, 'name': 'Bed and Breakfast', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/bedandbreakfast_', 'suffix': '.png'}}, {'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.138217, 'longitude': 11.564604}, 'roof': {'latitude': 48.138217, 'longitude': 11.564604}}",/v3/places/56f4f43d498e03967ccf4772,Buddy Hotel,7.8
37,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.13767, 'longitude': 11.622927}, 'roof': {'latitude': 48.13767, 'longitude': 11.622927}}",/v3/places/5ba0c103916bc1002c945524,HYPERION Hotel München,7.8
38,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.151249, 'longitude': 11.618352}, 'roof': {'latitude': 48.151249, 'longitude': 11.618352}}",/v3/places/4ade0c8cf964a520bf6721e3,Sheraton Munich Arabellapark Hotel,7.7
39,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.135657, 'longitude': 11.545918}, 'roof': {'latitude': 48.135657, 'longitude': 11.545918}}",/v3/places/4c110147ce640f4796ca3a52,Hotel Bavaria,7.6
40,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.186933, 'longitude': 11.543187}, 'roof': {'latitude': 48.186933, 'longitude': 11.543187}}",/v3/places/4d2b8a66c406721e620c8db6,Leonardo Royal Hotel Munich,7.6
41,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.1392, 'longitude': 11.56282}, 'roof': {'latitude': 48.1392, 'longitude': 11.56282}}",/v3/places/517708f9498ea4fd6b46c7bd,Hotel Bayer's,7.6
42,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.132911, 'longitude': 11.692291}, 'roof': {'latitude': 48.132911, 'longitude': 11.692291}}",/v3/places/4bbdec6e593fef3ba0010456,Novotel Munich Messe,7.5
43,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.143808, 'longitude': 11.546427}, 'roof': {'latitude': 48.143808, 'longitude': 11.546427}}",/v3/places/4bdeecedfe0e62b5910e0606,Eurostars Grand Central,7.5
44,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.093431, 'longitude': 11.60503}, 'roof': {'latitude': 48.093431, 'longitude': 11.60503}}",/v3/places/5960ac770f013c71a8ebbceb,Gambino Hotel Cincinnati,7.4
45,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.140587, 'longitude': 11.535109}, 'roof': {'latitude': 48.140587, 'longitude': 11.535109}}",/v3/places/5b339e93419a9e002cccc9d5,Hilton Garden Inn Munich City West,7.4
46,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.126382, 'longitude': 11.551608}, 'roof': {'latitude': 48.126382, 'longitude': 11.551608}}",/v3/places/57237b8c498e8d0abedb9335,Bold Hotel München Zentrum,7.4
47,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 48.16109, 'longitude': 11.544801}, 'main': {'latitude': 48.160975, 'longitude': 11.544849}, 'roof': {'latitude': 48.160975, 'longitude': 11.544849}}",/v3/places/555c8408498e975fcdebcef2,Leonardo Hotel Munich City Olympiapark,7.4
48,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 48.137069, 'longitude': 11.571103}, 'main': {'latitude': 48.137164, 'longitude': 11.57104}, 'roof': {'latitude': 48.137164, 'longitude': 11.57104}}",/v3/places/4ade0c98f964a520016821e3,Mercure Hotel Munich Altstadt,7.3
